id,ph,dissolved_oxygen,electric_conductivity,date,station_point_id
1,5.27,3.87,191.46,2018-07-01 09:56:00,1
2,5.20,3.79,186.07,2018-07-01 09:57:00,1
3,5.39,3.77,184.57,2018-07-01 09:58:00,1
4,5.15,3.92,186.10,2018-07-01 09:59:00,1
5,5.26,3.70,189.15,2018-07-01 10:00:00,1
6,5.45,3.94,191.50,2018-07-01 10:01:00,1
7,5.16,3.83,184.21,2018-07-01 10:02:00,1
8,5.28,4.07,186.12,2018-07-01 10:03:00,1
9,5.12,3.71,184.92,2018-07-01 10:04:00,1
10,5.13,3.98,186.81,2018-07-01 10:05:00,1
11,5.26,3.80,183.92,2018-07-01 10:06:00,1
12,5.10,3.67,188.22,2018-07-01 10:07:00,1
13,5.17,3.78,189.33,2018-07-01 10:08:00,1
14,5.27,3.95,188.09,2018-07-01 10:09:00,1
15,5.39,4.04,185.43,2018-07-01 10:10:00,1
16,5.18,3.95,186.75,2018-07-01 10:11:00,1
17,5.18,3.78,189.30,2018-07-01 10:12:00,1
18,5.39,3.87,191.32,2018-07-01 10:13:00,1
19,5.18,4.01,184.42,2018-07-01 10:14:00,1
20,5.30,3.67,187.80,2018-07-01 10:15:00,1
21,5.17,3.94,189.83,2018-07-01 10:16:00,1
22,5.31,3.96,190.07,2018-07-01 10:17:00,1
23,5.29,4.00,191.66,2018-07-01 10:18:00,1
24,5.37,4.04,189.30,2018-07-01 10:19:00,1
25,5.37,3.84,186.06,2018-07-01 10:20:00,1
26,5.30,3.74,186.76,2018-07-01 10:21:00,1
27,5.37,3.86,187.25,2018-07-01 10:22:00,1
28,5.41,4.06,185.99,2018-07-01 10:23:00,1
29,5.25,3.86,183.97,2018-07-01 10:24:00,1
30,5.42,3.83,184.94,2018-07-01 10:25:00,1
31,5.16,4.04,187.42,2018-07-01 10:26:00,1
32,5.23,3.73,189.21,2018-07-01 10:27:00,1
33,5.21,3.77,191.14,2018-07-01 10:28:00,1
34,5.16,3.89,184.87,2018-07-01 10:29:00,1
35,5.39,4.00,188.58,2018-07-01 10:30:00,1
36,5.38,3.70,191.61,2018-07-01 10:31:00,1
37,5.34,3.99,187.29,2018-07-01 10:32:00,1
38,5.38,4.07,187.22,2018-07-01 10:33:00,1
39,5.43,3.99,187.82,2018-07-01 10:34:00,1
40,5.39,3.73,189.84,2018-07-01 10:35:00,1
